"","State","Psychotherapy","Electroconvulsive","Substance Abuse","Emergency","Alzheimer's or Dementia","Eating Disorder","PTSD","Ownership"
"1","AK","Yes","No","Yes","Yes","No","No","Yes","Public"
"2","AK","Yes","No","Yes","Yes","No","No","No","Public"
"3","AK","Yes","No","Yes","No","No","No","No","Public"
"4","AK","Yes","No","Yes","No","No","No","No","Public"
"5","AK","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"6","AK","Yes","No","Yes","No","No","No","Yes","Private Non-Profit"
"7","AK","Yes","No","No","No","No","No","Yes","Private Non-Profit"
"8","AK","Yes","No","No","No","No","No","No","Private For-Profit"
"9","AK","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"10","AK","Yes","No","No","No","No","No","Yes","Private Non-Profit"
"11","AK","Yes","No","Yes","Yes","Yes","Yes","Yes","Public"
"12","AK","Yes","No","Yes","No","No","No","Yes","Private Non-Profit"
"13","AK","Yes","No","No","No","No","No","No","Private Non-Profit"
"14","AK","Yes","No","Yes","Yes","No","No","Yes","Private For-Profit"
"15","AK","Yes","No","Yes","No","No","Yes","Yes","Private For-Profit"
"16","AK","Yes","No","Yes","Yes","No","No","Yes","Private For-Profit"
"17","AK","No","No","No","No","No","No","No","Private For-Profit"
"18","AK","Yes","No","No","No","Yes","No","Yes","Public"
"19","AK","Yes","No","No","No","No","No","No","Private Non-Profit"
"20","AK","Yes","No","Yes","Yes","No","No","Yes","Private Non-Profit"
"21","AK","Yes","No","No","No","No","No","Yes","Private Non-Profit"
"22","AK","Yes","No","No","No","No","No","No","Private Non-Profit"
"23","AK","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"24","AK","Yes","No","Yes","No","No","No","No","Public"
"25","AK","Yes","No","Yes","No","No","No","No","Public"
"26","AK","Yes","No","No","No","Yes","No","No","Private Non-Profit"
"27","AK","Yes","No","No","No","No","No","Yes","Private Non-Profit"
"28","AK","Yes","Yes","No","Yes","No","No","No","Private Non-Profit"
"29","AK","Yes","No","No","No","No","No","No","Private For-Profit"
"30","AK","Yes","No","Yes","No","Yes","No","Yes","Private For-Profit"
"31","AK","Yes","No","Yes","No","No","No","Yes","Private Non-Profit"
"32","AK","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"33","AK","Yes","No","Yes","No","No","No","Yes","Public"
"34","AK","Yes","No","Yes","Yes","No","Yes","Yes","Public"
"35","AK","No","Yes","No","No","No","No","No","Private Non-Profit"
"36","AK","Yes","No","Yes","No","No","No","Yes","Private For-Profit"
"37","AK","Yes","No","No","No","No","No","Yes","Private Non-Profit"
"38","AK","Yes","No","Yes","Yes","No","No","Yes","Private Non-Profit"
"39","AK","Yes","No","Yes","Yes","No","No","No","Public"
"40","AK","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"41","AK","Yes","No","Yes","No","No","No","Yes","Private Non-Profit"
"42","AK","Yes","No","Yes","No","Yes","Yes","Yes","Private For-Profit"
"43","AK","Yes","No","Yes","No","No","No","Yes","Private Non-Profit"
